sensitivity,intelligence,dedication,dynamism,tyranny,masculinity,dominant_dimension,confidence_sensitivity,confidence_intelligence,confidence_dedication,confidence_dynamism,negative_evidence,falsifying_evidence,rival_explanation,evidence_quotes,memo,transcript_id,framework,framework_name,guest_name,gender,n_passages_seen
illustrated,mentioned,illustrated,central,absent,absent,dynamism,0.65,0.45,0.7,0.85,Intelligence is only weakly evidenced through problem-solving references. Tyranny and masculinity receive no treatment. Sensitivity appears primarily through privacy values rather than interpersonal awareness.,"The speaker describes being 'allergic to school' and prioritizing money-making over formal education, which could contradict dedication to structured achievement. The privacy stance could be strategic positioning rather than genuine sensitivity.",This reads as origin story and company values narrative. The 'school-averse entrepreneur' is a genre convention. Privacy emphasis may be market differentiation rather than identity work.,"I never stopped after that. I mean, right after that, I mean, because of my I don't know if I should call it popular popularity or whatever, other people approached me for for similar things to develop for them. || since it was school and I'm sort of allergic to school, it's always good for me. I had companies in school. || We design and build based on privacy and that's been actually a very, very big sort of, very big part of our DNA to build products that are privacy respectful. || we see that as our value and we wanna respect people's privacy || sometimes we do lose opportunities because of our sort of focus on privacy, but it's fine","Speaker constructs identity around continuous action and momentum—never stopping, always starting companies, moving quickly. Dynamism is the organizing principle: school is rejected not for its content but because it constrains activity. The privacy values could signal sensitivity, but they're presented as company DNA and market position rather than personal empathy. Dedication appears through persistence despite obstacles (parental pressure, lost opportunities), but the speaker doesn't claim to work harder than others—just differently. This is entrepreneurial origin story more than leadership self-presentation: events and outcomes dominate over relational or developmental claims.",IFM-002,C,Epitropaki_Martin_2004,Aydin Tabrakul,Male,8
absent,mentioned,illustrated,illustrated,absent,absent,dynamism,0.85,0.7,0.8,0.9,"No evidence for sensitivity (interpersonal awareness, consideration of others). No evidence for tyranny or masculinity. Intelligence is referenced through 'insight' and 'in-depth understanding' but not developed as central to self-presentation.","The speaker frames entrepreneurship as escape from constraint ('tight to be an employee and in a box') rather than as leadership of others. The founding story (P5) is casual ('a bar...glass of beer') not heroic. Advice-giving (P6-P7) focuses on cognitive adaptation, not on leading people or organizations.",This reads as immigrant entrepreneurship narrative—explaining business trajectory through structural constraints and opportunities rather than leadership identity. The speaker positions as serial founder but not as leader of people.,"I need to have more room to try and error. I need... It is so tight to be an employee and in a box || I had the chance to start the different businesses and some of them are still going on || They are capable and have the capacity to take risk and manage different business conditions || I always had some sort of open eye about thinking about new ideas || we decided actually it was a bar and we had some glass of beer and we talked about that and we said, OK, let's let's try that","Speaker constructs entrepreneurial identity through restlessness and opportunity-seeking rather than leadership. Dynamism appears through serial founding, risk-taking, idea exploration. Dedication shown through persistence across countries and ventures. The rhetoric emphasizes autonomy-seeking ('room to try and error') and adaptability ('compare different economic systems') rather than influence over others. This is founder-as-explorer, not founder-as-leader. The casual founding story and focus on cognitive frameworks suggest strategic self-presentation as adaptive immigrant entrepreneur rather than prototypical leader.",IFM-003,C,Epitropaki_Martin_2004,Hamid Reza-Mohammadi,Male,7
illustrated,mentioned,central,central,absent,absent,dedication,0.65,0.5,0.85,0.8,Tyranny and masculinity receive no support. Intelligence is implied through educational credentials and strategic thinking but not foregrounded as a self-descriptor. The passages focus on action and persistence rather than cognitive superiority.,"The speaker repeatedly emphasizes openness to advice (P3, P12), admits to unmet goals (P8), and describes rejection and failure (P4, P10). This contradicts a purely confident, self-sufficient prototype. The humility could be strategic modesty or genuine uncertainty about leadership identity.","These passages read as entrepreneurial origin story—the standard narrative arc of hustle, iteration, and growth. The speaker may be performing 'founder' rather than 'leader,' describing business development activities rather than claiming a leadership identity.","I'm not going to give up any idea or any opportunity that comes through. I'm just going to jump at it, jump into the water, and then eventually learn how to swim. || I would actually go from street to street, from building to building. Wherever there's a no soliciting sign outside, I would actually just walk into that building || I wanted honest opinions. So I spoke to a lot of people and they told me what they liked, they told me what they didn't like || I do change it as and when I can. For instance, one of the most popular beverages in my machine in the UCW student lounge is actually chai tea. Because we have a huge population of Indian students || I've even in some cases turned down customers || I'm still in a very early stage of my life, very early stage of my business. So it's very fluid right now || I would be very happy to have suggestions. If you have any good tips, good ideas","The speaker constructs themselves through relentless action and persistence rather than innate qualities. Dedication dominates: door-to-door prospecting despite rejection (P4), continuous experimentation (P5), adaptation to customer needs (P6). Dynamism appears through opportunity-seeking language and multiple simultaneous initiatives (P9, P10). Sensitivity emerges in customer observation (P5) and cultural responsiveness (P6, P7). The repeated invitations for advice (P3, P12) and admission of setbacks (P8, P10) suggest either genuine developmental stance or strategic humility. The rhetoric is entrepreneurial hustle narrative—proving worth through effort—rather than claiming inherent leadership authority.",IFM-004,C,Epitropaki_Martin_2004,Shuryas Kotha,Male,12
illustrated,illustrated,central,central,illustrated,mentioned,dedication,0.75,0.7,0.9,0.85,"The passages provide limited evidence for sensitivity as a central organizing principle. While the hiring process shows attention to team fit, the speaker frames this instrumentally (finding people who 'go above and beyond') rather than as interpersonal care. Masculinity is only weakly invoked through competitive framing.","P7-P10 contain tyranny markers: 'we scare them,' presenting 'the worst day of their life' as deliberate strategy, the five-minute test as elimination mechanism, and the swearing episode. These contradict prototypical leadership sensitivity. The competitive framing in P11 ('winning deals,' 'winning beats against') works against collaborative sensitivity.","This reads as entrepreneurial origin story convention: early failure, mentor rescue, near-death transformation, mastery-through-failure wisdom. The hiring process detail may be product marketing (selling a methodology) rather than identity work. The 'master failure' frame is strategic humility.","I started my first business when I was 18 years old and I failed at that business really, really badly in three months || if I die that day, I haven't made the impact I wanted to make in the world || overnight success took 10 years to build || I'm a master failure. I fail every single day in my life || If it's longer than five minutes, they're not the right match for my team || I was sitting in front of my monitor, I was like, holding my hair out. And I was just like, swearing || I was making deals with them that I was winning, winning deals and winning beats against like many of them","Speaker constructs identity through relentless persistence narrative: serial failure reframed as learning, near-death as purpose clarification, decade-long effort as prerequisite. The 'master failure' paradox positions them as wise through suffering. Dynamism appears in rapid action (sold company at 23, found client in three days, five-minute tests). Intelligence is demonstrated through hiring system sophistication and joint venture strategy. However, the 'scaring' methodology and elimination mechanisms introduce tyranny elements that complicate the prototypical leader image. The speaker wants to be seen as battle-tested, systems-smart, and impact-driven, but the methods described reveal controlling tendencies. This is entrepreneurial war story more than leadership identity work.",IFM-005,C,Epitropaki_Martin_2004,Iman Aghay,Male,11
illustrated,illustrated,central,central,absent,absent,0.75,0.7,0.85,0.9,dynamism,"Tyranny and masculinity receive no support. The passages contain no directive language, no dominance displays, no gendered self-presentation. The speaker describes collaborative problem-solving and mission alignment, not command.","The speaker emphasizes learning from failure ('what we didn't want to do'), manual work before automation, and hiring for adaptability rather than expertise. This contradicts a pure intelligence prototype. The focus on 'hands on' work and spreadsheet management contradicts any claim to visionary distance or strategic elevation.","These passages read as startup origin story conventions: the pivot narrative, the 'do things that don't scale' mantra, the mission-driven culture talk. They may be rehearsed company mythology rather than spontaneous identity work.","I learned a lot of skills about, you know, engaging with people in general that I hadn't previously learned in my previous experience. || you've got to do things that don't necessarily scale, especially to get you going || we were a human backhand doing all the matchmaking through spreadsheets. It was very, very hands on. || We're now 85. Our average age, by the way, last time I checked is 25. So we walked the talk. || we're an incredibly mission-driven company. And we've got this North Star that we're focused on || we actually flipped the model. We went straight to educators","The speaker constructs themselves through action and adaptation rather than vision or authority. Dynamism dominates: rapid scaling (25 to 85 people), pivoting strategy, hands-on execution transitioning to automation. Dedication appears through mission language and investment in team development. Intelligence is demonstrated through strategic learning (manual before automated, flipping the business model) rather than claimed expertise. Sensitivity emerges in attention to employee experience and student voice. The rhetoric is relentlessly operational—what we did, what we learned, how we adapted—not who I am. This could be founder-interview genre rather than identity disclosure.",IFM-006,C,Epitropaki_Martin_2004,Dana Stephenson,Male,11
illustrated,mentioned,illustrated,mentioned,absent,absent,sensitivity,0.75,0.65,0.7,0.6,Tyranny and masculinity receive no support. Dynamism is implied through entrepreneurial trajectory but not developed as self-presentation. Intelligence appears through professional breadth but is not foregrounded.,"The speaker explicitly rejects aggressive growth tactics (P6: 'we are not forcing anyone'), contradicting dynamism-as-drive. Outsourcing key functions (P10) contradicts self-reliance often associated with entrepreneurial dynamism.","These passages read as origin story and business model explanation rather than identity work. The speaker describes what they do, not who they are becoming.",it is a good idea first to learn everything you need to learn in other people's establishments before you move on to yours || we are not forcing anyone towards that || I believe that is another big element of trust when patients want to basically choose the right options for themselves || that was another very good decision to trust these guys and go with them,"The speaker constructs themselves through patient care ethics inherited from their mother, not through entrepreneurial achievement. Sensitivity appears as organizing principle: patient welfare over subscription revenue, trust-building through professional credentials, collaborative rather than controlling relationships with contractors. The rhetoric is pedagogical (advising future entrepreneurs) rather than heroic. Identity work is minimal—this reads more as business history than self-presentation. The speaker positions themselves as steward of professional values, not disruptor or visionary.",IFM-007,C,Epitropaki_Martin_2004,Matt Rezaie,Male,10
illustrated,illustrated,mentioned,illustrated,absent,absent,intelligence,0.65,0.75,0.5,0.7,"Tyranny and masculinity receive no treatment. Dedication is implied through persistence ('learn the hard way,' 'getting better') but not developed as a self-characterization.","P1 explicitly disclaims technical expertise ('I do not have a tech background'), which could contradict intelligence prototype if intelligence is narrowly construed as domain expertise. However, strategic intelligence is demonstrated elsewhere.","This could be startup origin story convention—explaining pivots, funding mechanics, market entry strategy. The 'challenge to listeners' (P7) follows motivational speaker genre rather than spontaneous self-presentation.","I do not have a tech background, and I didn't study computers. || We learn the hard way. || we're utilizing our contacts to get ourselves in the right rooms || that comes down to consulting through our network and through our organization and not getting drunk on one great deal || I'll take a whole step back and say, wait a minute, maybe if we do it this way || what do you need to let go of in your life? || Where can you take what you've learned, let go of some of the baggage and redirect yourself","Speaker presents as strategic learner who compensates for technical gaps through network leverage and reflective pivoting. Intelligence is demonstrated through deal structuring (P2, P6) and learning from mistakes (P4-5). Sensitivity emerges in coaching stance (P7), asking listeners to examine their lives. Dynamism shown through global operations (P3) and adaptive strategy. The rhetorical project is positioning as wise operator who succeeds through strategic thinking rather than technical mastery—a legitimation move for non-technical founder. The 'challenge to listeners' frame (P7) performs authority through generosity rather than claiming it directly.",IFM-008,C,Epitropaki_Martin_2004,Paul McKenzie,Male,7
absent,mentioned,illustrated,illustrated,absent,absent,dynamism,0.85,0.7,0.8,0.9,"No evidence for sensitivity (interpersonal awareness, consideration of others' needs). No evidence for tyranny or masculinity dimensions. Intelligence is only weakly present through problem-solving recognition.","Speaker explicitly states limitations: 'I'm not a good cold caller,' 'I can't fake it,' describes being 'approached to raise money for other things' with 'not had the same success.' These admissions contradict a purely confident, competent prototype. The learning frame in P8 ('I'm learning every day,' 'much calmer...than I would have been') positions speaker as developing rather than arrived.","This reads as origin story convention—how I got started, what my network was, why I chose this path. The passages explain business model choices (public vs private capital) rather than constructing a leadership identity.",I started being a broker of ideas and companies || I'm not a good cold caller || I've invested hundreds of thousands of dollars of my own money in my company and companies || I'm learning every day,"Speaker constructs themselves as resourceful and action-oriented (dynamism) through concrete episodes: counting 2000 stock quotes, cold-calling companies, building networks, investing personal capital. Dedication appears through financial commitment and persistence. However, the rhetoric is primarily explanatory—justifying capital strategy choices—rather than identity work. Self-deprecating admissions ('not a good cold caller,' still learning) complicate any strong prototypical leader presentation. The frame is 'how I navigated this terrain' not 'what kind of leader I am.'",IFM-009,C,Epitropaki_Martin_2004,Paul McKenzie,Male,8
illustrated,illustrated,central,mentioned,absent,absent,dedication,0.7,0.65,0.85,0.5,Tyranny and masculinity receive no support. Dynamism is weakly evidenced—the speaker describes sustained effort over time rather than energetic action or charisma.,"The speaker explicitly positions themselves as non-expert in multiple domains (P7: 'not everything is my expertise'), acknowledges forecasting failures (P9: 'I did not see Bank of Canada increasing interest rates so rapidly'), and emphasizes ordinariness (P8: 'I'm not from another planet, I'm regular person just like you'). These admissions contradict intelligence as a central organizing prototype.","This could be standard financial advisor credentialing (listing designations, publications, experience) combined with product differentiation (the 'Financial Sensei' brand story). The martial arts metaphor may be marketing positioning rather than identity work.","I've been working in financial industry almost since when I moved to Canada, which is going to be 20 years pretty soon. || I've been writing since 1999. I've been published in four countries in English and Parsi. || I take people from white belt all the way to black belt || we are emotional creatures. We are not robots || I'm not from another planet, I'm regular person just like you || I did not see Bank of Canada increasing interest rates so rapidly || sometimes I'm like, hey, you need to see a career counselor or career advisor || you have to do the work, you have to put the work || I'm going to be there for you, but you got to do the work, man || Since June this year, in two months, I lost eight kilos","The speaker constructs authority through accumulated credentials and longevity (20 years, 400 articles, multiple designations) while simultaneously performing relatability and humility. The 'Financial Sensei' brand positions them as guide rather than expert—someone who walks alongside clients through disciplined practice. Dedication is the organizing principle: sustained effort in martial arts, finance, writing, and personal discipline (weight loss example). Sensitivity appears through acknowledgment of emotional decision-making and holistic client needs. Intelligence is demonstrated through expertise markers but undermined by admissions of forecasting failure and knowledge boundaries. The rhetoric is pedagogical—teaching through metaphor and personal example—rather than heroic or visionary.",IFM-010,C,Epitropaki_Martin_2004,Ali Reza Fadai,Male,14
absent,illustrated,mentioned,central,absent,absent,dynamism,0.85,0.75,0.7,0.9,"Sensitivity receives no attention. No interpersonal awareness, team development, or relational concerns appear. Tyranny and masculinity are not invoked.","The speaker frames identity through marketing expertise and product strategy rather than leadership per se. 'I define myself by my work' (P2) is about entrepreneurial identity, not leadership identity. The passages describe business tactics and market positioning, not how they lead people or came to see themselves as a leader.","These passages read as strategic self-presentation to investors or business audiences—demonstrating market savvy, operational efficiency, and growth trajectory. The speaker performs entrepreneurial competence rather than articulating leadership identity.","I define myself by my work, which is a really weird thing, but probably a very commonality between a lot of entrepreneurs. || So ultimately, I mean, like I'm a marketing guy, right? So it doesn't matter what industry I'm in. If I look at something and I think I can do it better, I'm gonna try and find a way to finagle it, right? || that's my strength, right? I know how to convey something to a buyer || for all those entrepreneurs out there, it's all about creating critical mass and momentum, right? || I know what products are good. And I know that they're better than the competition. || entrepreneurs, it's just growth, right? Like you start in concentric circles, then you grow bigger, bigger.","The speaker constructs identity around marketing expertise and entrepreneurial action—'I'm a marketing guy,' 'I know how to convey something to a buyer.' Dynamism dominates through repeated emphasis on growth, momentum, and aggressive market entry ('finagle it,' 'critical mass'). Intelligence appears through strategic frameworks (L'Oreal CPG strategy, share-of-heart tactics, cost model optimization). However, this is business narrative, not leadership identity work. The speaker describes what they do and know, not how they lead or how others see them as a leader. The passages perform entrepreneurial credibility rather than articulate a leadership self-concept.",IFM-011,C,Epitropaki_Martin_2004,Garett Senez ,Male,12
illustrated,illustrated,mentioned,central,absent,absent,dynamism,0.65,0.7,0.55,0.85,Tyranny and masculinity receive no support. Dedication is implied through persistence but not explicitly developed as identity work.,"P8 shows self-awareness of communication failure ('I never mentioned what the NFT is'), which contradicts pure intelligence prototype. P9 admits 'we made a few mistakes' and 'I first need to figure out the right sequence,' undermining claims to mastery.","These passages read as startup pitch narrative—origin story, problem identification, vision articulation, market positioning. The structure follows entrepreneurial convention rather than spontaneous identity construction.","I just decided to drop out and go explore the world || I realized that the toy industry is quite broken in many ways || We need to start with the vision and that's probably the hardest and the most important thing || I think we have an ethical obligation to expose our kids to AI as soon as possible || we need to meet people where they are currently and not kind of try to get them to where we want them to be || I was talking about NFTs, but I never mentioned what the NFT is || direction is more important than speed would be my advice","Speaker constructs identity through serial reinvention and decisive action—dropping out, sailing, pivoting industries, founding ventures. Dynamism dominates: constant movement, vision-setting, future orientation. Intelligence appears through problem identification (broken toy industry, AI ethics) and strategic thinking (sequence, direction over speed). Sensitivity emerges in child-centered philosophy and meeting customers where they are. However, the narrative follows startup founder conventions so closely—hero's journey, problem-solution framing, visionary positioning—that it's difficult to separate authentic self-presentation from genre requirements. The admissions of mistakes and communication failures provide modest falsification but don't fundamentally challenge the action-oriented prototype.",IFM-012,C,Epitropaki_Martin_2004,Zoran Kovacevic,Male,11
mentioned,illustrated,illustrated,central,absent,absent,dynamism,0.4,0.7,0.7,0.85,"Tyranny and masculinity are entirely absent. Sensitivity receives minimal development—the personal disclosure about fatherhood (P3) could invoke it, but it's positioned as biographical context rather than a leadership quality.","The speaker emphasizes corporate constraints and responsibility (P5: 'we can't run head first,' 'we have to have these things done in sandboxes') which could contradict pure dynamism. However, they immediately counter this with 'I am very much a champion for experimentation,' suggesting they frame caution as strategic rather than limiting.","This reads as professional self-introduction and interview convention—establishing credentials through geographic mobility, institutional affiliations, and role progression. The 'challenge' framing (P7-P8) may be task description rather than identity work.","I've been in Sweden for the past four years and in that time I've spent some time working with the European Union and I've also worked as a consultant for most of the Volvo companies || I have also spent the last 10 years also teaching digital marketing strategy at the University of the West Indies, the University of Trinidad and Tobago || And as marketers, we have to be innovators. We have to be the ones trying on the goggles, seeing what the experience is like || I am very much a champion for experimentation and for trying || I would like to challenge the students to come up with a global campaign","The speaker constructs themselves through geographic and institutional range (Caribbean to Sweden, advertising to EU to Volvo, multiple universities). Dynamism dominates: 'innovators,' 'champion for experimentation,' issuing challenges. Intelligence appears through strategic framing of constraints ('sandboxes,' responsible innovation). Dedication shows in sustained teaching (10 years) alongside corporate work. The rhetoric positions them as boundary-crosser (cultures, sectors, roles) who balances corporate responsibility with experimental drive. The 'challenge' to students performs authority through agenda-setting rather than claiming a leadership identity directly.",IFM-013,C,Epitropaki_Martin_2004,Christopher Grange,Male,8
illustrated,illustrated,mentioned,central,absent,absent,dynamism,0.65,0.7,0.45,0.85,Dedication is underdeveloped—career moves are described but not as sustained commitment. Tyranny and masculinity have no textual support. Sensitivity appears in negotiation awareness but lacks depth.,"The speaker describes coordination and adaptation but never claims to lead people or inspire followership. 'I'm the one that kind of goes to them' describes facilitation, not leadership. The focus on tools and data management could indicate technical rather than leadership identity.",This reads as professional service positioning—explaining what a fractional CFO does to justify the role's value. The 'secret sauce' and 'innovation' framing suggest marketing language rather than identity work.,"I really discovered that I had this love for doing multiple things at once || I use data connectors || you got to be on your toes and you say, okay, maybe I've gone down the wrong path for a little bit. So back it up a little bit || Every person responds a little bit differently and to different tactics || I'm the one that kind of goes to them, make sure they're all around the table, everybody's happy","Speaker constructs identity around versatility and adaptability—juggling multiple clients, reading situations, pivoting approaches. Dynamism dominates through 'love for doing multiple things,' tool adoption, and 'reading and reacting.' Intelligence appears via data sophistication and strategic positioning. Sensitivity emerges in negotiation awareness and personality management. However, this is primarily service-provider rhetoric: explaining the fractional CFO value proposition rather than claiming leadership. The speaker coordinates stakeholders but never describes inspiring, directing, or transforming them. Identity centers on being agile and technically capable, not on leading.",IFM-014,C,Epitropaki_Martin_2004,Nick French,Male,8
illustrated,central,central,illustrated,absent,absent,intelligence,0.65,0.85,0.8,0.7,Tyranny and masculinity receive no invocation. Sensitivity is present but subordinate to pattern recognition and judgment capabilities.,"The speaker emphasizes gut feeling and intuition (P10) while simultaneously claiming systematic pattern recognition from experience (P7, P8). This tension suggests the intelligence claim may be partially strategic self-presentation rather than demonstrated analytical method.","These passages follow venture capital origin story conventions: immigrant journey, market positioning strategy, deal flow metrics, founder evaluation criteria. Could be sector-specific self-presentation rather than identity work.","I can say I'm a serial entrepreneur, because I made lots of, you know, ventures by my own || After seeing a pitch from someone, I can say, hey, this is not a good case. This is a good idea. But but this guy is not a good person for making that happen. || I'm talking about my journey. I'm not I'm not talking about for example, the Facebook journey, or Apple's journey, because I saw all the things || It's actually, it's like, it's a gut feeling. It's a intuitive way of understanding and finding. || how much you are hungry to make something happen. You know, it is very important. || entrepreneurship is like, you know, loving someone. You have to have this in your heart.","Speaker constructs identity around discernment and pattern recognition ('ability to find good founders,' evaluating 75 cases). Intelligence is central: claims experiential knowledge over academic learning, positions self as judge of founder quality. Dedication appears through hunger/belief metaphors and immigrant persistence narrative. Sensitivity emerges in helping immigrant entrepreneurs and creating 'something beyond investment,' but remains secondary to evaluative expertise. Dynamism shown through serial ventures and rapid early investment pace. The rhetorical project is establishing credibility as someone who 'knows' through accumulated experience rather than formal credentials.",IFM-015,C,Epitropaki_Martin_2004,Graham Szasz,Male,12
illustrated,central,mentioned,illustrated,absent,absent,intelligence,0.65,0.85,0.5,0.7,"Tyranny and masculinity are not invoked. Dedication is referenced ('passion,' 'focus') but not developed through concrete episodes showing sustained effort or sacrifice.","P6 reveals delegation of responsibility ('we trust our customers,' 'we are agnostic') that could contradict both intelligence (not engaging with complexity) and sensitivity (outsourcing ethical considerations). The framing 'as a startup, we started to avoid' suggests risk-aversion rather than principled leadership.","These passages read as product pitch and company narrative rather than identity work. The speaker describes technical capabilities and market positioning, not how they came to see themselves or be seen by others.","my passion has been around how we can utilize data science, machine learning, AI for solving real-world problems || We started to learn how people interpret information on the website, what kind of concept and keyword they look at as an expert || We want to focus on the right content that is authentic, that is highly personalized, that talks about something that I care as a potential buyer, and it's respectful, and it's a human way || we try to come up with hypothesis, tested with clients, tested with some even sometimes people who are potentially might possibly become our clients to make sure that we are in the right path || We are responsible to get the data, add value to it and bring it back to them. We always trust our customers will do their best","Speaker presents primarily through technical expertise and analytical problem-solving. Intelligence is central: learning systems, hypothesis testing, automation of expert judgment. Sensitivity appears in customer-focused language ('authentic,' 'respectful,' 'human way') but remains abstract. Dynamism shown through iterative development and AB testing. However, the discourse is overwhelmingly product-description rather than self-presentation. The speaker positions the company's capabilities, not their own leadership identity. P6's ethical outsourcing ('we trust our customers') potentially undermines the sensitivity prototype by avoiding rather than engaging complexity.",IFM-016,C,Epitropaki_Martin_2004,Hamid and Rezaq,Male,7
illustrated,illustrated,mentioned,mentioned,absent,absent,sensitivity,0.75,0.7,0.65,0.55,Tyranny and masculinity receive no support. Dynamism is weakly evidenced—the speaker describes watching growth rather than driving it. Dedication appears through pride and hope but lacks concrete behavioral illustration.,The speaker positions themselves as observer and user rather than architect: 'I've loved...watching What3Words take off' and 'I'm constantly using it' frame them as beneficiary and witness. The role title 'head of partnerships' appears once without elaboration of leadership action.,"This reads as product evangelism and company narrative rather than self-presentation. The speaker explains What3Words' value proposition using standard pitch language ('human friendly,' 'day to day inefficiencies'), positioning the technology as protagonist.",what we tend to do is just come back to those day to day inefficiencies in life. that you might not even realize were a problem until you eventually realize they're a problem. || I've loved in the years I've been with this company watching What3Words take off in North America from a niche idea that a few people thought was cool to being used by enormous sports stadiums || My hope is just to keep spreading the word and get more people aware of how this addressing system could help them.,"The speaker performs sensitivity through attention to human needs ('not that human friendly,' inefficiencies people don't realize) and global impact ('developing and developed countries'). Intelligence appears in problem-framing about addressing systems. However, the rhetorical work centers the product, not the self. The speaker positions as enthusiastic advocate and user rather than leader—watching growth happen, using the product personally, hoping to spread awareness. Pride attaches to the company's mission, not personal achievement. This is corporate storytelling that happens to use first-person pronouns.",IFM-017,C,Epitropaki_Martin_2004,Marcus,Male,7
illustrated,illustrated,mentioned,mentioned,absent,absent,intelligence,0.65,0.75,0.55,0.5,Tyranny and masculinity are not invoked. Dynamism is implied through business growth language but not developed as self-presentation. Dedication appears in advice-giving but not in self-description.,The speaker describes systematic processes and team consultation rather than individual heroics. 'We' dominates over 'I'. The failure advice (P5) could suggest learning orientation but also positions speaker as advice-giver rather than vulnerable learner.,These passages read as company origin story and operational description rather than identity work. The 'storied career' frame (P1) and advice-giving (P5-6) suggest interview convention—performing expertise for an audience rather than revealing self-concept.,we spend a very long time. as we vet and source new products to make sure that everything fits really seamlessly with our systems || We also survey our customers quite often to see which types of products that they would like to see next || we have our team test and different our key merchants will give them lots of samples to test || learning from failure is probably the biggest piece of advice that I've ever been given || we've a really good back and forth relationship with our merchants and our suppliers,"Speaker presents through systematic process description rather than personal narrative. Intelligence prototype emerges through emphasis on vetting, testing, learning systems. Sensitivity shown via customer surveys and merchant relationships, but framed as business practice not personal quality. Heavy use of 'we' deflects individual attribution. The advice-giving frame (P5-6) positions speaker as experienced guide but may be interview performance rather than identity claim. Notably absent: personal struggle, transformation, or moments where they discovered who they are as a leader.",IFM-018,C,Epitropaki_Martin_2004,Adam Chantz,Male,6
absent,illustrated,mentioned,mentioned,absent,absent,intelligence,0.7,0.8,0.6,0.5,"No evidence for sensitivity (interpersonal awareness, consideration of others' feelings). Tyranny and masculinity are not invoked. Dynamism is weakly supported—'take action' could be advice rather than self-characterization.","P1 shows deliberation and caution ('double checking', 'go no-go') which contradicts pure dynamism. The speaker emphasizes research and self-examination over bold action.",These passages read as mentorship advice or interview convention ('I challenge you'). The speaker may be performing the role of experienced advisor rather than revealing how they see themselves as a leader.,"I'm always double checking, you know, my thought process and I do I do a go no-go kind of hold on || do research, really understand, you know, this is where school comes back into place. Schools are really good at teaching you to research || if you're ready for entrepreneurship, work on yourself. And that's my challenge because entrepreneurship will test you on a lot of levels","Speaker presents as methodical and analytical rather than impulsive. Intelligence dimension emerges through emphasis on research, learning competitors, understanding one's space. The 'work on yourself' frame suggests dedication but is directed at audience, not claimed for self. Rhetoric is advisory/pedagogical—'I challenge you' repeated twice. May be performing mentor role rather than revealing personal leadership identity. Caution and deliberation ('double checking', 'go no-go') temper any dynamism claims.",IFM-019,C,Epitropaki_Martin_2004,Jake McEvan,Male,3
illustrated,illustrated,mentioned,mentioned,absent,absent,sensitivity,0.75,0.7,0.55,0.5,Tyranny and masculinity receive no treatment. Dynamism is implied through program management but not foregrounded. Dedication appears in outcomes described but not as self-characterization.,"The speaker consistently positions themselves as observer and facilitator rather than directive actor. 'I've run programs' describes administrative responsibility, not personal drive or charisma. The focus on 'mentorship,' 'guidance,' and 'personal touch' could indicate sensitivity OR could be professional vocabulary for workforce development work.","These passages read as professional reflection on workforce development programs rather than identity construction. The speaker describes program design and outcomes using field-standard terminology. This may be expert narration, not self-presentation.","I had a student one time many years ago I was teaching at the Nicola Valley Institute of Technology and had a student who was telling me about well you know I can get all this training here and I can read all the books I want about business and administration but you think I can get a job at home? || these cultural matches are really important || bringing people along and providing the mentorship necessary to motivate people || you also need that hands-on personal touch here and there. And you need supervision. You need guidance. || we're seeing a couple of individuals who started out as counter staff, but who are now in supervisory, frontline supervisory management within, you know, 12 to eight months, but they had some fairly intensive training. And it's really a success story.","Speaker presents as educator and program designer focused on Indigenous workforce development. Sensitivity emerges through attention to cultural barriers ('leaving home and leaving your way of life'), student concerns, and emphasis on mentorship and 'personal touch.' Intelligence shown through strategic planning vocabulary and systems thinking about capacity development. However, the rhetorical work here may be explaining program philosophy rather than constructing leadership identity. The speaker describes what programs need, not who they are. Success is attributed to 'intensive training' and organizational commitment, not personal qualities.",IFM-020,C,Epitropaki_Martin_2004,Jack Smith,Male,8
absent,mentioned,illustrated,central,absent,absent,dynamism,0.85,0.75,0.9,0.95,"sensitivity, tyranny, masculinity","The speaker never describes leading others, managing teams, or interpersonal influence. All activity is individual hustle—knocking doors, doing work for free, trying ideas. The identity constructed is entrepreneurial experimenter, not leader of people.","This reads as startup origin story convention: the hustler narrative. Multiple ventures, risk-taking, learning from failure, merging passions. Standard entrepreneurial self-presentation rather than leadership identity work.","I love the idea of execution and operations || I love the idea that the more things you try, the more chances you are closer to making something work || anyone that has an entrepreneur spirit or anything like that can relate that you're always thinking about something || I love the idea of challenging, you know, to, to kind of execute on something","Speaker constructs identity through relentless activity and experimentation. Dynamism dominates: trying multiple ventures (digital marketing, Trova, Trento), constant motion between projects, always thinking about the next thing. Dedication illustrated through concrete sacrifice (forgoing paid internship, working for free, managing 11 clients while in school). Intelligence mentioned via learning orientation and market validation advice. Notably absent: any description of leading people, building teams, or interpersonal influence. This is entrepreneurial identity work, not leadership identity work. The speaker wants to be seen as a doer and experimenter, not as someone who guides others.",IFM-021,C,Epitropaki_Martin_2004,Taylor ,Male,9
