observing,experimenting,evaluating,repertory_source,identity_trajectory,sequence_observed,confidence_observing,confidence_experimenting,confidence_evaluating,confidence_trajectory,negative_evidence,falsifying_evidence,rival_explanation,evidence_quotes,memo,transcript_id,framework,framework_name,guest_name,gender,n_passages_seen
insufficient_evidence,insufficient_evidence,insufficient_evidence,prior_professional,arrived,no clear sequence of identity development tasks; speaker presents from established position,0.1,0.2,0.2,0.6,"All three tasks (observing, experimenting, evaluating) show no evidence. No role models are named or described. No experimentation with provisional selves is mentioned. No evaluation of identity trials appears.","The speaker consistently uses prescriptive language ('we need to,' 'what we should do') suggesting an established professional identity rather than one under construction. They position themselves as authority on best practices, not as someone trying out a new role.","This reads as professional advocacy or institutional critique rather than identity work. The speaker articulates a philosophy of practice and challenges current approaches, positioning themselves as expert commentator on student support systems.","I would never sit here and tell anyone that it's gonna be a quick change || We need to come from a position of inspiring and motivating individuals with options, not solutions || We make assumptions. And we bucket all international students into the same little tidy pile || What we need to do is be more proactive || I want to challenge people to openly share what their experiences are","Speaker performs established professional authority throughout. Uses collective 'we' to critique institutional practices and prescribe alternatives. The rhetoric is pedagogical and reformist—teaching others how support work should be done. No narrative of becoming, learning, or adapting to role. Instead: confident diagnosis of systemic problems and prescription of solutions. The challenge to 'share experiences' (P8) could suggest openness to learning, but frames speaker as convener/facilitator, not learner. This is advocacy from position of expertise, not identity experimentation.",IFF-022,B,Ibarra_1999,Christina (mental health specialist),Female,8
insufficient_evidence,insufficient_evidence,insufficient_evidence,institutional,no_arc,"no sequence evident; passages describe business origin story and service philosophy, not identity transition",0.2,0.3,0.2,0.4,"All three tasks (observing, experimenting, evaluating) lack clear evidence. No role models are named or described. No provisional identity trials are articulated. No evaluation of identity experiments against standards or feedback is present.","P1 establishes 'learner' as core identity, not 'leader' or 'entrepreneur' or 'consultant.' P7-P8 frame the speaker as uncertain about business development ('what does it look like'), suggesting they have not arrived at a confident entrepreneurial identity. The question to the audience reveals ongoing uncertainty rather than consolidated identity.","This is primarily a business origin narrative and service pitch. The speaker explains how their consulting business emerged from institutional involvement and family requests, then describes their service philosophy ('keep doors open'). The identity claim is 'learner,' not entrepreneur or leader.","I am a learner, first and foremost. I think that's the biggest thing to know about me. || family friends would start to come to me and say, hey, I've got some questions about education || what does it look like for a small business like mine, who's a service provider, to network and find new clients || Morgan Academic Consulting was a 100% born out of the pandemic business.","Speaker presents as 'learner' seeking to be seen as knowledgeable advisor. The rhetoric emphasizes accumulated expertise (UBC governance, curriculum development) that legitimizes consulting work. Business founding is narrated as organic response to demand, not identity transformation. P7-P8 reveal ongoing uncertainty about entrepreneurial practice, contradicting any 'arrived' identity. This reads as credentialing narrative—establishing authority to advise—rather than identity work around becoming an entrepreneur or leader.",IFF-023,B,Ibarra_1999,Kirsten Morgan,Female,8
insufficient_evidence,explicit_experimentation,both,prior_professional,arrived,"evaluate->experiment->arrived; speaker describes adapting behavior after feedback, then establishing current professional stance",0.2,0.7,0.8,0.6,observing: no role models mentioned; speaker does not describe watching others to identify possible selves,"P1 opens with 'I am a global diversity, equity and inclusion strategist' - declarative present identity, not becoming. P2-P5 describe established professional practice ('what I do is'), not experimentation. The experimentation in P7-P8 concerns cultural adaptation in job interviews, not professional identity formation.","This reads primarily as professional biography and service description (P1-P5), followed by origin story explaining cultural competence credentials (P6-P8). The 'became an entrepreneur' phrase is a business transition marker, not identity work.","I need to understand it to be able to adapt my behavior. And now what I do is I just say it. || And typically, when I start talking to a Canadian audience, I always say that I'm very excited to be here. And this is how an excited Polish person sounds like or look like. So I do have this disclaimer. || during the pandemic, I basically became an entrepreneur","Speaker presents an established professional identity through credentials and service description. The only identity work visible concerns cultural adaptation (P7-P8): receiving feedback (external evaluation), understanding cultural differences, experimenting with behavioral adaptation, and arriving at a current practice of explicit framing. This is adaptation to cross-cultural professional norms, not entrepreneurial or leadership identity formation. The 'became an entrepreneur' phrase describes a business structure change during pandemic, not an identity transition narrative. Speaker wants to be seen as an experienced, globally-oriented DEI professional with cross-cultural expertise.",IFF-025,B,Ibarra_1999,Anna Kostecka,Female,8
named_role_model,explicit_experimentation,both,family,becoming,"observe->experiment->evaluate: speaker describes childhood role models, then college experimentation, then iterative evaluation through pricing/process refinement",0.75,0.95,0.85,0.6,No evidence of resisting or rejecting an entrepreneurial identity. No evidence of institutional role models (all appear to be personal/family connections).,P10 'I had zero help from anybody' directly contradicts P1 'lucky enough to have people around me...who were in this industry and kind of showed me their experience.' This inconsistency suggests strategic self-presentation rather than consistent identity narrative.,"This reads as a how-to success story emphasizing accessibility ('if I can do it, you can do it'). The technical problem-solving and cost optimization details suggest instructional content rather than identity work.","I've always wanted to be an entrepreneur. And I was lucky enough to have people around me when I was a child who were in this industry and kind of showed me their experience. || I did it again the next day and the next day and the next day. And then by the end, it took me about 20 minutes per installation || I had zero information, zero help from anybody, and I figured it out. || I knew I wanted to be in energy efficiency from when I was a kid.","Speaker constructs a bootstrapping narrative with contradictory framing: simultaneously claiming childhood mentorship (P1) and complete self-reliance (P10). The rhetoric emphasizes accessibility and replicability ('if I can do it, you can do it') rather than unique leadership qualities. Heavy focus on technical problem-solving and cost optimization suggests this may be instructional content or product pitch rather than identity work. The 'becoming' trajectory is present but subordinated to demonstrating business viability and process efficiency.",IFF-026,B,Ibarra_1999,Alex Honado,Female,11
insufficient_evidence,implied,external_feedback,prior_professional,arrived,no clear sequence; speaker presents as already possessing expertise rather than developing it,0.2,0.4,0.6,0.5,"observing - no role models mentioned; experimenting - no explicit trials of different approaches described, only accumulated experience presented as settled knowledge","P1 describes career progression ('I became a chief of insurance company') as outcome of technical implementation work, not identity development. P5 anecdote positions speaker as already expert facing resistance, not as learner. P6-P8 present established methodology ('we at Zippir...we prepare always') suggesting arrived expertise rather than provisional experimentation.","This reads as company methodology explanation and service differentiation narrative. Speaker establishes credibility through prior experience, then describes current company's approach to client implementation. Could be sales pitch or case study rather than identity work.","Each time I was starting at an organization, I was basically on the front line of doing such implementation. || there was a person who literally was throwing folders with documents at me saying, this is the papers I used to work this and I will keep working with those papers. || people need to have very good people skills, very good change management skills","Speaker constructs authority through accumulated experience across contexts (Ukraine insurance, Canada tech). Rhetorical strategy: establish pattern of being 'on the front line' of digital transformation, then pivot to current company methodology. The 2004 anecdote serves as origin story for current philosophy. No identity struggle visible—speaker presents as already expert teaching others. This is pedagogical positioning, not provisional self-exploration. The 'we at Zippir' framing suggests organizational rather than personal identity work.",IFF-027,B,Ibarra_1999,Elena Pomazanova,Female,8
insufficient_evidence,explicit_experimentation,both,prior_professional,arrived,no clear sequence; speaker presents as already established in VR community design role,0.2,0.7,0.8,0.6,observing - no role models mentioned; speaker does not describe watching others to learn how to be in this role,"P1 and P7 position speaker as already expert ('semi-unique', 'one of the pioneers'). P4 describes established consulting practice. These suggest arrived identity rather than provisional experimentation. The experimentation is with methods/approaches, not with whether to claim this professional identity.","This reads as origin story and expertise demonstration. Speaker establishes credentials (doctorate, therapy background), identifies market gap, positions self as solution. Classic entrepreneurial narrative structure, not identity uncertainty.",COVID brought me into VR pretty hardcore personally || that led me on a journey of taking this conflict resiliency model and all of my other training and starting to build spaces and events || this is where I think it makes me semi-unique in virtual reality as kind of one of the pioneers with a psychology background || I work as a community design developer consultant and trainer || I have privilege. I have so much privilege in the world. And that's going to make me blind at times to how I'm taking up space,"Speaker performs established expertise rather than identity exploration. The 'journey' language (P4) suggests narrative convention, not provisional self-testing. Experimentation appears in method (building wheelchair, P6; slowing down workshop, P8) not in role identity. Self-corrections about language (P11 'tribe') demonstrate ongoing evaluation against internal DEI standards. The passages show someone teaching others how to behave, not someone figuring out who they are becoming. Rhetorical goal: establish unique positioning (psychology + VR pioneer) and moral authority (privilege awareness).",IFF-028,B,Ibarra_1999,Ruth Diaz,Female,11
insufficient_evidence,insufficient_evidence,insufficient_evidence,unclear,no_arc,"no sequence evident; passages describe business rationale and advice-giving, not identity development",0.2,0.2,0.2,0.3,"All three tasks (observing, experimenting, evaluating) show no evidence. P1 describes biographical facts and struggle. P2 describes market opportunity and business decision. P3-P7 describe employer education and student advice. P8 references personal experience but only as validation for advice, not as identity work.","P2 'I left my full-time job earlier this year to fully pursue this business' describes a career decision, not how the speaker came to see themselves differently. P5 'that's exactly what we are building' positions speaker as business builder, not as someone undergoing identity transition. The passages consistently present completed expertise ('I can position myself as a specialist' in P6) rather than provisional experimentation.","These passages read as founder origin story and customer education. The speaker establishes credibility through shared struggle (P1), identifies market gap (P2-P3), and delivers prescriptive advice (P4-P7). This is strategic self-presentation as expert advisor, not identity exploration.",I'm the founder and CEO || I left my full-time job earlier this year to fully pursue this business that I've been building on the side of my desk for a long time || That's exactly what I did. But it took a long time.,"Speaker presents as arrived expert dispensing advice from position of authority. The rhetorical work is establishing founder credibility through biographical struggle, then pivoting to prescriptive guidance for target customers. Identity is asserted ('founder and CEO') not explored. The 'I struggled, then succeeded, now I help others' narrative serves business legitimation rather than documenting identity transition. No evidence of observing role models, experimenting with provisional selves, or evaluating feedback—only retrospective success narrative.",IFF-029,B,Ibarra_1999,Pat Jason,Female,8
generic_role_model,explicit_experimentation,both,peers_founders,becoming,"personal disruption -> observe (attend events, learn from others) -> experiment (host gatherings, practice speaking) -> evaluate (people don't care about accent, gatherings work)",0.7,0.85,0.8,0.75,No named role models. No explicit claim to a leadership identity. The speaker describes hosting and community-building activities but never says 'I am a leader' or 'I became a leader.',"P5 explicitly rejects social standards and rules ('who set those rules'), which could indicate resistance to adopting conventional professional identities rather than transitioning into one. The dismissal of the team (P2) suggests withdrawal from a managerial role rather than growth into it.","This could be a personal growth narrative about overcoming immigrant isolation and social anxiety, not professional identity work. The 'community' may be therapeutic self-help rather than entrepreneurial positioning.","I attended events, I tried to network with people, just learn from how other people doing, like building agency or business in general, just trying to learn from them. || I just start doing exercises, I would say that's like, I just realized as you do, as with practices, you just realize people don't care about your accent at all. || I don't know, like they, I feel like they feel the vibe. || I had to figure something and I just start to going out, just talking to people. || I kind of dismissed it. I don't want people just sit there and wait for me to have some answer","Speaker frames their activity as personal problem-solving (loneliness, accent anxiety) rather than professional development. The 'community' emerges from therapeutic need, not business strategy. Experimentation is explicit (hosting gatherings, practicing English) but evaluated against personal comfort ('I just know how to make people comfortable') not professional standards. Identity work is present but oriented toward social belonging, not entrepreneurial or leadership identity. The rejection of rules (P5) and dismissal of team (P2) suggest ambivalence about conventional professional roles.",IFF-030,B,Ibarra_1999,Juliana Lopez,Female,9
named_role_model,explicit_experimentation,both,prior_professional,becoming,"observe->experiment->evaluate, chronologically structured but interview-driven",0.75,0.85,0.7,0.65,"No clear observing of specific named role models in these passages, though generic observation is implied through 'worked for a year at another sustainable small business' and meeting researchers","P5 explicitly distances from solo founder identity ('I couldn't do this without a whole team... I couldn't do it all myself, not even close'). P8-P9 show identity conflict between environmental values and business pragmatism, suggesting incomplete transition.",This could be origin story rhetoric for the company rather than identity work. The chronological narrative (environmentalist->scientist->entrepreneur) reads as strategic positioning to legitimize the business through mission alignment.,"I worked for a year at another sustainable small business. I learned kind of the ins and outs of, you know, really what being an entrepreneur running a business would look like. || I still remember that feeling when I held it above my head and it only lasted five minutes, but I lit it up in front of this crowd || I think that's always been my skill set is like, what do we need to do next? || I did environmental sciences in university and it was very anti-business and building a business, you just start to run into all of these like barriers || what is the one problem that we're solving as a startup? A startup can solve one problem.","Speaker constructs a linear progression narrative (environmentalist->scientist->entrepreneur) but reveals ongoing identity tension. The environmental values conflict with business pragmatism (manufacturing overseas, P6-P8). Rhetorical work emphasizes team leadership over solo founder identity. The 'garbage challenge' framing (P10) positions entrepreneurship as problem-solving rather than identity. This reads more as company origin story than personal identity transformation—the speaker wants to be seen as mission-driven and pragmatic, but the values-business tension suggests the entrepreneur identity remains provisional.",IFF-031,B,Ibarra_1999,Paige ,Female,10
insufficient_evidence,implied,external_feedback,prior_professional,arrived,"No clear observe->experiment->evaluate sequence. Speaker presents accumulated expertise as established fact, not as developmental process.",0.2,0.4,0.6,0.7,"observing - No role models mentioned, no description of watching others to learn leadership or founder identity. experimenting - No explicit trials of different professional selves described; career transitions presented as accomplished facts rather than experiments.","Speaker presents expertise as accumulated and established ('leading consultant', 'incredible learning', 'we have brilliant people'). No uncertainty, no provisional trying-on of identities. The narrative is retrospective mastery, not identity experimentation.","This reads as credential-building and expertise demonstration rather than identity work. The speaker establishes authority through accumulated experience (50-60 interviews, years of consulting, founding a college) to position their current business offering.","I became a leading consultant for IT projects || the learning was incredible. I'm really grateful for the experience I had || We have a team of absolutely brilliant people, including leading AI scientists || what I learned over the years, over the many years || our job is to encourage and motivate them","Speaker constructs authority through accumulated professional experience rather than describing identity transition. The rhetoric is retrospective expertise: 'I became a leading consultant', 'the learning was incredible', 'what I learned over the years'. No provisional selves are visible—only accomplished ones. The passages describe business activities (assembling teams, creating products, coaching clients) but not how the speaker came to see themselves differently. This could be strategic self-presentation for the college/assessment business rather than identity work. The 'we' language (P4-P8) positions speaker as established expert guiding others, not as someone experimenting with who they might become.",IFM-001,B,Ibarra_1999,Boros Peludo,Male,9
insufficient_evidence,implied,external_feedback,prior_professional,no_arc,"No clear sequence of identity tasks. Passages describe business activities (starting companies, building products) and value commitments (privacy) but not identity experimentation or role model observation.",0.1,0.3,0.4,0.2,observing: No role models mentioned. experimenting: No explicit trials of different professional selves described. The speaker moves from programming to founding companies but does not frame this as trying on identities.,P1-P4 describe a linear progression of business activities without reflection on identity change. P5-P7 articulate company values but not personal identity evolution. The speaker resists school identity ('allergic to school') but does not describe becoming or trying to become a founder/leader.,"This reads as origin story and company values statement. The speaker establishes credibility (early programming success), explains company founding chronology, and articulates organizational values (privacy). Not identity work but strategic self-presentation as principled entrepreneur.","I never stopped after that. I mean, right after that, I mean, because of my I don't know if I should call it popular popularity or whatever, other people approached me for for similar things to develop for them. || I'm sort of allergic to school, it's always good for me. I had companies in school. || as a company, we see that as our value and we wanna respect people's privacy || That is a very satisfying feeling for us as individuals and for the company.","Speaker presents a consistent self across time: programmer who monetizes skills, resists formal education, starts companies. No identity transition is narrated. P5-P7 describe organizational values (privacy) with collective 'we' language. P8 acknowledges institutional support but frames it as instrumental help, not identity shaping. The rhetoric establishes founder credentials and moral positioning rather than exploring how the speaker came to see themselves differently.",IFM-002,B,Ibarra_1999,Aydin Tabrakul,Male,8
generic_role_model,explicit_experimentation,both,prior_professional,arrived,"observe->experiment->evaluate, but cyclical across multiple contexts (Iran->UAE->Canada)",0.65,0.85,0.7,0.55,"No named role models. The speaker references 'friends with similar conditions' and immigrant entrepreneurs generically, but never identifies a specific person they observed or emulated.","The speaker frames themselves as already having arrived ('I am an immigrant entrepreneur') rather than becoming one. The identity claim is asserted, not narrated as a transition. P2's 'I started to think about funding my own company' describes a decision point, not identity work. The bar conversation (P5) is presented as a business decision ('let's try that'), not an identity experiment.","This reads as immigrant success narrative and business advice-giving rather than identity construction. The speaker positions themselves as experienced advisor ('I can give some advice') comparing economic systems, not as someone working out who they are.","I am an immigrant entrepreneur which makes it a kind of unique condition || we already have some kind of dent or let's say a sparkle or some sort of wheels which is matched, the gear matched with different economic system || Many of them think about, OK, let's start here || I always had some sort of open eye about thinking about new ideas","Speaker presents as established entrepreneur reflecting on journey, not someone becoming one. The rhetoric is pedagogical—teaching others about immigrant entrepreneurship—rather than exploratory. Identity is claimed ('I am an immigrant entrepreneur') not constructed. The passages describe business decisions and comparative economic analysis, not provisional self-experimentation. The 'try and error' language (P2) suggests experimentation, but it's framed as needing space for business activity, not testing possible selves. This is retrospective sense-making by someone who has already consolidated an entrepreneurial identity.",IFM-003,B,Ibarra_1999,Hamid Reza-Mohammadi,Male,7
institutional,explicit_experimentation,both,institutional,becoming,"observe->experiment->evaluate, with ongoing iteration; sequence appears speaker-driven through narrative of progression",0.65,0.8,0.55,"observing shows weak evidence - no named role models, only institutional exposure at Babson; the speaker references educational context but not specific people to emulate","P12 'very early stage of my life, very early stage of my business' contradicts an 'arrived' identity. P8 'I actually was hoping I would be at 10 machines' shows gap between aspiration and achievement. The repeated emphasis on being 'open' to suggestions (P12) and detailed descriptions of rejection (P4) suggest uncertainty rather than consolidated identity.","This reads primarily as a business development narrative - prospecting methods, customer acquisition, product iteration. The 'Mr Bean' nickname (P1) could be branding rather than identity. Most passages describe operational activities, not self-concept transformation.","I didn't expect was everyone would start calling me Mr Bean which is perfectly fine. I actually enjoy it. || entrepreneurship is an obsession with opportunity. And I think I've kind of imbibed that into my life. || I'm just going to jump at it, jump into the water, and then eventually learn how to swim. || I did a lot of experimentation actually. In fact, I would spend a lot of time in that student lounge actually watching people || I wanted honest opinions. So I spoke to a lot of people and they told me what they liked, they told me what they didn't like || I do change it as and when I can. For instance, one of the most popular beverages in my machine in the UCW student lounge is actually chai tea. || I've even in some cases turned down customers. || I'm still in a very early stage of my life, very early stage of my business. So it's very fluid right now.","Speaker presents as student-entrepreneur actively constructing legitimacy through institutional affiliation (Babson, UCW professors) and methodical experimentation. Rhetorical work emphasizes learning-by-doing ('jump into the water'), responsiveness to feedback, and professional judgment ('turned down customers'). However, repeated acknowledgment of early stage, openness to advice, and detailed rejection stories suggest provisional rather than consolidated entrepreneurial identity. The 'Mr Bean' acceptance may signal comfort with founder role, but could equally be pragmatic branding. Overall: becoming, not arrived.",IFM-004,B,Ibarra_1999,Shuryas Kotha,Male,12
named_role_model,explicit_experimentation,both,family,arrived,"observe (father) -> experiment (first business at 18, failed) -> evaluate (mentor feedback) -> experiment (IT company) -> arrived (master failure identity)",0.95,0.9,0.85,0.8,No evidence of ongoing identity uncertainty or provisional self-testing. Speaker presents as having arrived at a stable identity ('master failure').,"The speaker explicitly rejects a 'success story' framing (P4-P5), suggesting resistance to conventional entrepreneur identity rather than adoption of it. The 'master failure' identity may be a rhetorical device rather than genuine identity work. The near-death experience (P3) is presented as transformative but the passages show no actual identity experimentation following it—only a declaration of intent.","This reads as a polished origin story and personal brand narrative ('master failure who succeeds') rather than identity transition. The hiring procedures and JV expertise are presented as established competencies, not provisional experiments. This could be strategic self-presentation for an audience.","my dad was an entrepreneur and I kind of grew up with him seeing all the things that he did || if you want to become an entrepreneur, I can mentor you || I'm a master failure. I fail every single day in my life. And once in a while I fail at failing and other people call it a success || There is nothing called the success story of Iman Agai || I actually have never been an employee in my life","Speaker performs a counter-narrative identity: the 'master failure' who never worked for anyone. This is sophisticated rhetoric, not provisional self-exploration. The father provided the initial role model (observing), the mentor provided evaluation, but the passages show someone who has crystallized an identity rather than experimenting with one. The detailed hiring procedures and business expertise are presented as established knowledge, not trials. The near-death story functions as a conversion narrative but lacks evidence of subsequent identity experimentation. This is brand-building through storytelling.",IFM-005,B,Ibarra_1999,Iman Aghay,Male,11
insufficient_evidence,explicit_experimentation,both,prior_professional,no_arc,"experiment->evaluate pattern present, but no observing phase evident; chronological ordering appears interview-driven",0.1,0.8,0.7,0.3,"observing: no role models mentioned, no identification of potential identities to try; identity_trajectory: no self-description of becoming or arriving as a leader/founder","P1 describes skill acquisition in sales, not identity change. P5-P6 describe operational learning ('what we learned'), not self-concept evolution. P7-P10 describe company practices and hiring philosophy, not personal identity work. The speaker consistently uses 'we' to describe business decisions, avoiding 'I' statements about who they are or became.","These passages read as company origin story and operational philosophy. The speaker describes business strategy (manual-then-automate, mission-driven culture) and tactical pivots (approaching educators not companies), not identity transformation.","I took a year off after high school, got into sales, and that sort of just changed my perspective. I learned a lot of skills about, you know, engaging with people || in the early days, it was hands on, you know, we were hands on fully || what we've learned is do things manually to get it done right. Once you've found that it can be done, once you've found that you've sort of nailed it on the manual side, what part of that can you automate || we actually flipped the model. We went straight to educators","Speaker presents as strategic operator recounting company-building decisions. Heavy use of 'we' deflects personal identity claims. P1 hints at perspective change from sales experience, but this becomes repertoire for business building, not identity evolution. The rhetoric is pedagogical—teaching startup lessons ('do things that don't scale') rather than narrating self-transformation. Mission-driven language (P9) describes company culture, not personal calling. This is founder-as-teacher, not founder-as-becoming.",IFM-006,B,Ibarra_1999,Dana Stephenson,Male,11
named_role_model,explicit_experimentation,external_feedback,family,arrived,observe (parents) -> experiment (multiple pharmacy roles) -> evaluate (patient feedback) -> arrived (entrepreneur identity claimed from outset),0.85,0.75,0.65,0.4,"No internal standards evaluation visible. The speaker does not describe wrestling with whether they ARE an entrepreneur or leader, only what they DO as one.","P2 claims 'the spirit of being an entrepreneur, I was always there' - this is a stable identity claim, not a transition. The speaker presents entrepreneurship as pre-existing essence ('I was always there') rather than something they became through the work described. The experimentation with pharmacy roles is framed as preparation for an inevitable outcome, not identity exploration.","This reads as career narrative and business origin story. The speaker chronicles professional preparation and strategic decisions (outsourcing, branding, regulatory compliance) rather than describing identity change or self-discovery.","My parents are entrepreneurs. || I would say the spirit of being an entrepreneur, I was always there. || I would say it is a good idea first to learn everything you need to learn in other people's establishments before you move on to yours. And this is exactly what I did. || my mom has told me that what you do is taking care of your patients. Everything else takes care of itself. So that is my belief. || I'm the second generation pharmacist myself.","Speaker presents entrepreneurship as inherited essence rather than achieved identity. The chronological career progression (government, manufacturing, importing, compounding, ownership) is framed as strategic preparation, not self-discovery. Mother appears as role model for professional values (patient care), parents as entrepreneurial models. No evidence of identity struggle, provisional trying-on, or becoming. This is retrospective sense-making that naturalizes the outcome. The speaker wants to be seen as: deliberately prepared, professionally grounded, inherently entrepreneurial.",IFM-007,B,Ibarra_1999,Matt Rezaie,Male,10
insufficient_evidence,implied,external_feedback,prior_professional,no_arc,"No clear sequence. P4-P5 suggest evaluate->adjust pattern (learning from failed approach with big companies), but no observe->experiment->evaluate arc present.",0.1,0.3,0.6,0.2,"observing: No role models mentioned, named or generic. experimenting: No explicit trials of provisional selves described. The 'experimenting' is with business strategy (which rooms to get into, which deals to pursue), not with identity.","P1 explicitly distances speaker from tech identity ('I do not have a tech background'). P7's advice about pivoting is generic life coaching, not personal identity narrative. The passages describe business pivots and strategic learning, not identity transitions.",These passages read as company origin story (P2: acquisition narrative) and strategic business lessons (P4-P6: learning to access decision-makers). P7 is motivational speaking. Not identity work.,"I do not have a tech background, and I didn't study computers. || We learn the hard way. || So we're utilizing our contacts to get ourselves in the right rooms. || what do you need to let go of in your life?","Speaker presents as experienced deal-maker navigating tech sector from outside. Rhetoric emphasizes learning and adaptation in business strategy, not personal transformation. P1 establishes non-tech credentials. P2-P6 narrate business moves and lessons. P7 shifts to generic motivational advice, suggesting interview may be content marketing. No evidence of identity experimentation or transition—only strategic business pivoting.",IFM-008,B,Ibarra_1999,Paul McKenzie,Male,7
insufficient_evidence,explicit_experimentation,external_feedback,prior_professional,becoming,experiment->evaluate; observing not evident in passages,0.1,0.8,0.7,0.6,observing: no role models named or described; no mention of watching others or identifying potential identities to emulate,"P2 'I categorize myself' as a natural salesperson suggests a stable self-concept rather than provisional identity. P5 'it was a network I was involved in' frames success as structural access, not identity development. The speaker describes learning tactical skills (P8 'handling situations') not identity transformation.","This reads as origin story and fundraising strategy explanation. The speaker narrates how they accessed capital markets through prior networks, not how they became a different kind of person.","I started being a broker of ideas and companies || I categorize myself and I cannot, I can't fake it. I can't pretend to sell anything I'm not, you know, remotely interested in || I'm learning every day. And I mean, just with this company alone, I mean, I'm, I'm much better at handling situations","Speaker presents a linear progression narrative: stock market hobbyist to idea broker to company founder. The rhetoric emphasizes network leverage and capital access rather than identity work. P2's self-categorization as 'natural salesperson' suggests fixed traits. P8 offers the only developmental claim ('learning every day,' 'much better at handling'), but frames it as skill acquisition ('calmer,' 'better at handling') not identity shift. The passages describe what the speaker did and how they did it, not who they became or how they came to see themselves differently.",IFM-009,B,Ibarra_1999,Paul McKenzie,Male,8
insufficient_evidence,explicit_experimentation,external_feedback,prior_professional,arrived,"No clear developmental sequence shown. Speaker presents established identity ('Financial Sensei' since 2008, trademarked 2013). The 2008 naming moment shows experimentation->evaluation, but passages describe current state, not becoming.",0.2,0.7,0.8,0.6,observing - No role models mentioned. Speaker describes drawing on own dual expertise (finance + martial arts) rather than modeling after others.,"P8 'I'm not from another planet, I'm regular person just like you' contradicts expert/sensei positioning. P9 confession of forecasting failure ('I did not see Bank of Canada increasing interest rates so rapidly') undermines sensei authority. These suggest strategic relatability rather than secure identity.","This reads as brand origin story and service positioning. The 'Financial Sensei' narrative establishes unique market position. Martial arts metaphor is pedagogical tool, not identity work. Speaker selling methodology, not exploring selfhood.","He brought it up and I loved it right away. So this is back in 2008. So I started using it. || And out of the blue, I was like, no, there is only one. I'm the one and only. It's my trademark. || And interestingly, everybody's liked it. Everybody have introduced it. They're like, oh, that's interesting. That's different. || I tell everybody, hey, I'm not from another planet, I'm regular person just like you.","Speaker performs established expert identity through brand narrative. The 'Financial Sensei' origin story (P3-P4) shows experimentation (trying the title at networking event) and evaluation (positive feedback, trademark registration). But passages are primarily service description and client relationship management. The martial arts metaphor structures pedagogy, not selfhood. Rhetorical moves alternate between authority ('the one and only') and relatability ('regular person just like you'), suggesting strategic identity presentation for client trust rather than provisional self-exploration. No developmental arc visible.",IFM-010,B,Ibarra_1999,Ali Reza Fadai,Male,14
named_role_model,explicit_experimentation,both,prior_professional,arrived,"observe->experiment->evaluate pattern present, but speaker presents as having completed the transition; retrospective framing suggests prior experimentation phase is complete",0.75,0.65,0.7,0.8,No evidence of ongoing identity struggle or uncertainty. The 'experimenting' task is referenced retrospectively ('what we did') rather than as current identity work.,"P2 'I define myself by my work' and P3 'I'm a marketing guy, right?' are declarative identity statements, not provisional ones. The speaker presents a consolidated identity ('entrepreneur by trade, but really a marketer') rather than experimenting with possible selves. The passages describe business strategy and operational decisions, not identity exploration.","These passages read primarily as a business case study or success narrative. The speaker is explaining their strategic approach (CPG playbook, outsourcing model, retail expansion) rather than describing how they came to see themselves differently. This is company history dressed as personal narrative.","I am a entrepreneur by trade, but really a marketer even prior to that. || I define myself by my work, which is a really weird thing, but probably a very commonality between a lot of entrepreneurs. || I'm a marketing guy, right? So it doesn't matter what industry I'm in. || everything that we're doing right now is a L'Oreal consumer packaged goods strategy || I worked in beer, we always used to say liquid on lips, right?","The speaker presents a settled professional identity anchored in marketing expertise, not a provisional one. L'Oreal and beer industry experience provide the repertory ('CPG strategy,' 'liquid on lips'). However, these passages are primarily strategic explanation—how to compete, how to structure costs, how to scale. The identity claims ('I'm a marketing guy') function as credentials for the business narrative, not as evidence of identity work. The speaker wants to be seen as a competent strategist applying proven frameworks, not someone becoming something new.",IFM-011,B,Ibarra_1999,Garett Senez ,Male,12
insufficient_evidence,explicit_experimentation,internal_standards,prior_professional,no_arc,"experimentation present, but no clear observe->experiment->evaluate sequence; speaker describes career moves and business pivots without reference to role models or identity transition",0.1,0.7,0.6,0.3,"observing: no role models mentioned, no identification of potential identities through others; trajectory: no language of becoming, arriving at, or resisting a leadership identity",P11 explicitly frames career as directional choice rather than identity development ('direction is more important than speed'); P9 focuses on operational sequencing ('what do we work on next') not identity work; speaker describes business decisions and product philosophy but never claims or explores a leader identity,"This reads as company origin story and product philosophy rather than identity work. Speaker explains how they found a market problem (broken toy industry) and their approach to solving it (AI safety, meeting customers where they are). The 'we' language positions them as company representative, not someone exploring who they are as a leader.",I started buying toys and I realized that the toy industry is quite broken in many ways || I decided there's got to be a better way || I'd say the challenge is to communicate what we're doing in a way that is easy to understand for pretty much mainstream customer || I think direction is more important than speed would be my advice || I feel directionally we're moving in the right direction,"Speaker presents a chronological career narrative (law school dropout → cruise ships → hotels → failed business → MBA → tech → toy company) but frames it as practical problem-solving and directional choices, not identity exploration. The rhetoric is founder-as-pragmatist: identifying market problems, making ethical arguments about children and AI, acknowledging mistakes. No language of becoming a leader, no role models, no reflection on how they see themselves differently. This is strategic self-presentation as thoughtful entrepreneur, not provisional self experimentation.",IFM-012,B,Ibarra_1999,Zoran Kovacevic,Male,11
